"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","979344507.8","2023034713.1","2143951791.1","2480214113.7","2435844906","2485331046.1","2580631877.8","2587774889.5","2529865267.8","2596917266.2","2596050086.4","2751986638.9","2678760424.2","2661685956.5","3036369312.4",
"Africa Western and Central","AFW","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7288778066.3","8591895991.1","9000344458.8","10059207810.7","10571384637.8","11292755787.9","11502043062.1","10545818707.6","9948274153","10784076259.7","10673241870.4","9763465564.4","8776917205","9119036718.7","9114598189.4","9801188917.7","12238371900.2","9905180985.8","11941803690.9","15596027678.7","20277281252.9","26795572704.5","34370523283.4","36856294099.9","44072816708.6","46456046425.5","49254143994.6","57827339857.2","59175902494.2","63217528196.5","64446155980","67286794415.2",
"Albania","ALB","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","511485756.3","632621789.2","786033591.2","883115193.8","458862737.5","491994448.6","516476961.3","623592791.8","773092900.6","1122051223.3","1154309753.2","1180426821.7","1550382967.9","1603744698.8","2126166749.1","2517100832.6","2966604307.7","4256899002.8","4605163641.8","5436572731.8","6484194296.1","7384500626.6","8647043653.8","8512452310","8447046910.5","8516222980.3","9801454504.1","9875849866.7","9556855648.5","10859239096.8",
"Andorra","AND","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","External debt stocks, total (DOD, current US$)","DT.DOD.DECT.CD","","","","","","","","","","","5893191433.6","6353903964.5","6893803268.3","7374621350.5","7798525658.1","7901576052.9","9501611014.5","11675739426.3","13507657037.8","21176835027.4","27322463712.9","35809463187.8","43787004262.2","46108319454.6","49060805832.6","51156733946","52688148843.8","58722673496.6","59015245403.5","65538413075.1","62477601311.9","65672366930.1","68605638952.4","64681387080.3","75094061335.7","98773122012.7","111145506414","128251441841.7","141504501057.7","151913800711.3","150062928187.3","152649929432.5","148320192549.3","163442688409.3","167999635827.3","130788488210.2","118921233033.8","120818039247.5","129752184881.3","133695121247.7","126642436908.2","142884643038.3","139877660191.7","150225029637.6","153793761987.6","177184603465.6","181638508190.7","225925335186.1","277827278079.2","281723792002.3","253760056780.7",
